Development_Status_Origin,Use,Region_Destination,Development_Status_Destination,Value
Unknown,Adaptation,Central Asia & Eastern Europe,EMDE,0.0001
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00008
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00124
China,Adaptation,Middle East & North Africa,EMDE,0.00106
China,Adaptation,East Asia & Pacific,China,0.00038
China,Adaptation,South Asia,EMDE,0.00001
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.08644
LDC,Adaptation,South Asia,LDC,0.00028
Advanced,Mitigation,East Asia & Pacific,China,0.00225
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00007
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00046
Advanced,Dual benefit,Transregional,LDC,0.00059
Advanced,Mitigation,Transregional,EMDE,0.00018
LDC,Mitigation,Transregional,Advanced,0
Advanced,Dual benefit,Transregional,EMDE,0.04206
Advanced,Mitigation,Transregional,EMDE,0
Advanced,Dual benefit,Transregional,LDC,0.00001
Advanced,Dual benefit,Transregional,Advanced,0.0028
Advanced,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,EMDE,0.00001
Advanced,Adaptation,Transregional,EMDE,0
Advanced,Mitigation,Western Europe,Advanced,0.00045
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0.00047
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00002
Advanced,Mitigation,Latin America & Caribbean,LDC,0
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.0558
Transregional,Dual benefit,Middle East & North Africa,EMDE,0.00003
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00014
EMDE,Mitigation,Middle East & North Africa,EMDE,0.00897
Unknown,Mitigation,Central Asia & Eastern Europe,EMDE,0.00436
Unknown,Mitigation,Central Asia & Eastern Europe,EMDE,0.00032
China,Mitigation,East Asia & Pacific,Advanced,0.00038
EMDE,Mitigation,South Asia,EMDE,0.00012
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.01378
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00417
Unknown,Mitigation,Western Europe,Advanced,0.01047
LDC,Mitigation,South Asia,LDC,0.08495
LDC,Mitigation,East Asia & Pacific,LDC,0.08113
LDC,Mitigation,Latin America & Caribbean,LDC,0.00857
Advanced,Mitigation,Other Oceania,Advanced,1.08799
Advanced,Mitigation,South Asia,LDC,0.0008
EMDE,Mitigation,East Asia & Pacific,Advanced,0.00133
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Middle East & North Africa,Advanced,0
LDC,Mitigation,Sub-Saharan Africa,EMDE,0.00011
Advanced,Mitigation,Middle East & North Africa,EMDE,0.10676
Advanced,Mitigation,South Asia,EMDE,0.00111
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.00536
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.92798
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0.00005
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00007
Transregional,Dual benefit,South Asia,EMDE,0.00015
LDC,Mitigation,South Asia,LDC,0.00021
Advanced,Dual benefit,Western Europe,Advanced,0.00004
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00001
Advanced,Mitigation,South Asia,EMDE,0.0002
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00012
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00011
Advanced,Mitigation,East Asia & Pacific,EMDE,0.04448
Advanced,Mitigation,South Asia,LDC,0.00001
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00002
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.01689
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00048
Advanced,Adaptation,South Asia,LDC,0.01105
Advanced,Adaptation,South Asia,EMDE,0.00005
EMDE,Adaptation,Middle East & North Africa,EMDE,0
EMDE,Adaptation,Middle East & North Africa,EMDE,0.00827
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.43555
LDC,Adaptation,East Asia & Pacific,EMDE,0
EMDE,Adaptation,South Asia,LDC,0.00143
LDC,Adaptation,Latin America & Caribbean,EMDE,0.00036
LDC,Adaptation,Middle East & North Africa,EMDE,0.00412
LDC,Adaptation,Middle East & North Africa,LDC,0.00005
China,Adaptation,Sub-Saharan Africa,EMDE,0
EMDE,Adaptation,Latin America & Caribbean,LDC,0
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00362
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.00047
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Transregional,Advanced,0
LDC,Mitigation,Transregional,EMDE,0.00546
Advanced,Dual benefit,Transregional,EMDE,0.01
LDC,Dual benefit,Transregional,Advanced,0
EMDE,Adaptation,Transregional,Advanced,0
Advanced,Adaptation,Transregional,Advanced,0
Advanced,Adaptation,Transregional,Advanced,0.00003
EMDE,Adaptation,Transregional,LDC,0.00003
Advanced,Dual benefit,Western Europe,Advanced,0.00232
Advanced,Mitigation,East Asia & Pacific,China,0.07807
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00018
LDC,Dual benefit,East Asia & Pacific,LDC,0.00038
China,Dual benefit,Latin America & Caribbean,EMDE,0.00046
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.1509
EMDE,Mitigation,South Asia,EMDE,0.00005
EMDE,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,South Asia,EMDE,0.01676
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.01455
EMDE,Dual benefit,East Asia & Pacific,LDC,0.00054
EMDE,Dual benefit,Sub-Saharan Africa,LDC,0.01055
China,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Middle East & North Africa,EMDE,0.00036
EMDE,Mitigation,Western Europe,Advanced,0.00111
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00001
China,Mitigation,Central Asia & Eastern Europe,Advanced,0.00003
China,Mitigation,East Asia & Pacific,China,3.82853
Advanced,Mitigation,Other Oceania,Advanced,1.02681
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.01448
EMDE,Mitigation,East Asia & Pacific,LDC,0.00017
Advanced,Dual benefit,South Asia,LDC,0.00007
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00037
Advanced,Mitigation,South Asia,LDC,0.00083
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00023
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0
EMDE,Dual benefit,Sub-Saharan Africa,EMDE,0.00021
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00429
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00003
Advanced,Mitigation,East Asia & Pacific,China,0
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0
Advanced,Mitigation,East Asia & Pacific,LDC,0.00002
LDC,Dual benefit,South Asia,EMDE,0.00918
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.0013
China,Dual benefit,Latin America & Caribbean,LDC,0
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00435
Advanced,Adaptation,East Asia & Pacific,LDC,0.0016
China,Adaptation,Latin America & Caribbean,EMDE,0.00062
China,Adaptation,Sub-Saharan Africa,LDC,0.00012
LDC,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00056
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.0134
EMDE,Mitigation,Unknown,Unknown,0.01454
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,East Asia & Pacific,Advanced,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00001
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00012
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.00208
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00009
Advanced,Adaptation,South Asia,LDC,0
Advanced,Dual benefit,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Transregional,Advanced,0.00024
LDC,Mitigation,Transregional,LDC,0.00015
Advanced,Mitigation,Transregional,EMDE,0
China,Mitigation,Transregional,LDC,0.00059
Advanced,Mitigation,Transregional,LDC,0.00011
Advanced,Mitigation,Transregional,LDC,0
Advanced,Adaptation,Transregional,Advanced,0.00001
EMDE,Dual benefit,East Asia & Pacific,China,0.01766
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00057
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00003
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00178
Advanced,Mitigation,South Asia,EMDE,0.00084
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.05383
Advanced,Mitigation,South Asia,EMDE,0.00009
China,Mitigation,Latin America & Caribbean,EMDE,0.00001
Advanced,Mitigation,East Asia & Pacific,China,0.10675
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00002
LDC,Mitigation,Middle East & North Africa,LDC,0.05515
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Mitigation,East Asia & Pacific,Advanced,0.72198
Advanced,Mitigation,Western Europe,Advanced,0.00009
Advanced,Mitigation,Latin America & Caribbean,LDC,0.00001
Advanced,Mitigation,East Asia & Pacific,China,0.00034
LDC,Mitigation,Middle East & North Africa,EMDE,0.00105
Advanced,Mitigation,East Asia & Pacific,LDC,0.00002
China,Mitigation,Sub-Saharan Africa,LDC,0.00003
Advanced,Mitigation,Western Europe,Advanced,0.88788
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0
China,Mitigation,South Asia,LDC,0.00001
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00082
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00037
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00098
EMDE,Dual benefit,Western Europe,Advanced,0.28318
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00004
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.009
Advanced,Adaptation,Western Europe,Advanced,0
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00412
China,Adaptation,Latin America & Caribbean,EMDE,0.00012
China,Adaptation,Sub-Saharan Africa,LDC,0
China,Adaptation,Latin America & Caribbean,EMDE,0.0014
China,Adaptation,Middle East & North Africa,EMDE,0.01431
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00164
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.01012
China,Adaptation,South Asia,EMDE,0.00071
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.0032
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.01438
Advanced,Adaptation,Central Asia & Eastern Europe,Advanced,0.00019
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0
Unknown,Adaptation,Central Asia & Eastern Europe,EMDE,0.00009
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00008
LDC,Adaptation,East Asia & Pacific,LDC,0.00003
EMDE,Adaptation,East Asia & Pacific,EMDE,0.00535
Advanced,Adaptation,South Asia,EMDE,0.00152
Advanced,Adaptation,Middle East & North Africa,EMDE,0.01622
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0
EMDE,Mitigation,South Asia,EMDE,0.00002
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00001
EMDE,Adaptation,Other Oceania,Advanced,0
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Transregional,LDC,0
Advanced,Adaptation,Transregional,Advanced,0.00058
Advanced,Adaptation,Transregional,LDC,0.00025
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.00561
Advanced,Dual benefit,South Asia,EMDE,0.00045
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00038
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.10393
LDC,Mitigation,Sub-Saharan Africa,LDC,0.00001
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.0044
Advanced,Mitigation,South Asia,EMDE,0.00772
Transregional,Dual benefit,Latin America & Caribbean,EMDE,0.00057
China,Mitigation,Latin America & Caribbean,EMDE,0.00001
Advanced,Mitigation,Middle East & North Africa,LDC,0.00028
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00047
China,Mitigation,East Asia & Pacific,Advanced,0.06942
Advanced,Mitigation,Western Europe,Advanced,3.99414
Advanced,Mitigation,Western Europe,Advanced,0.00004
EMDE,Mitigation,Sub-Saharan Africa,LDC,0.00002
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Mitigation,East Asia & Pacific,EMDE,0.01154
Advanced,Mitigation,Other Oceania,Advanced,0.53427
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.034
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.06317
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.00091
LDC,Mitigation,Sub-Saharan Africa,LDC,0.04088
EMDE,Dual benefit,East Asia & Pacific,EMDE,0.00019
LDC,Dual benefit,East Asia & Pacific,China,0.00001
Advanced,Mitigation,East Asia & Pacific,China,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.11507
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00005
Advanced,Mitigation,East Asia & Pacific,China,0.10039
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
China,Mitigation,South Asia,EMDE,0.00001
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.17888
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00001
LDC,Mitigation,South Asia,LDC,0
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00194
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00025
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00719
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00102
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00176
Advanced,Adaptation,Western Europe,Advanced,0.21461
China,Adaptation,Sub-Saharan Africa,LDC,0.0007
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00006
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00194
EMDE,Adaptation,Sub-Saharan Africa,LDC,0
Advanced,Adaptation,Middle East & North Africa,LDC,0.03945
EMDE,Adaptation,Central Asia & Eastern Europe,EMDE,0.01742
EMDE,Adaptation,Middle East & North Africa,EMDE,0.00261
Advanced,Adaptation,South Asia,EMDE,0.01115
EMDE,Adaptation,East Asia & Pacific,EMDE,0.00002
China,Adaptation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00002
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00033
Transregional,Dual benefit,Latin America & Caribbean,EMDE,0
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00054
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.00021
China,Mitigation,Sub-Saharan Africa,EMDE,0
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00001
Advanced,Adaptation,Latin America & Caribbean,Advanced,0
EMDE,Mitigation,Transregional,LDC,0.00014
Advanced,Mitigation,Transregional,LDC,0.01101
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Transregional,EMDE,0.00005
Advanced,Mitigation,Transregional,EMDE,0.00003
Advanced,Mitigation,Transregional,Advanced,0.00004
Advanced,Adaptation,Transregional,LDC,0.00007
China,Adaptation,Transregional,EMDE,0.00003
Advanced,Dual benefit,East Asia & Pacific,EMDE,0.00633
Advanced,Mitigation,Middle East & North Africa,EMDE,0.00065
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.00485
Advanced,Dual benefit,Sub-Saharan Africa,Advanced,0.00009
EMDE,Mitigation,Latin America & Caribbean,EMDE,0
LDC,Mitigation,Sub-Saharan Africa,EMDE,0.00002
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.00012
Advanced,Mitigation,South Asia,EMDE,0.1015
Advanced,Mitigation,South Asia,EMDE,0.00166
EMDE,Dual benefit,Latin America & Caribbean,EMDE,0.0005
Advanced,Mitigation,East Asia & Pacific,Advanced,7.86871
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00208
Advanced,Dual benefit,East Asia & Pacific,China,0.00005
China,Mitigation,Latin America & Caribbean,EMDE,0.00011
LDC,Mitigation,South Asia,EMDE,0.00001
EMDE,Mitigation,East Asia & Pacific,EMDE,0.09732
Unknown,Mitigation,Western Europe,Advanced,0.04537
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.17485
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.08774
China,Dual benefit,Latin America & Caribbean,EMDE,0.00003
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.11575
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.10813
China,Dual benefit,East Asia & Pacific,China,0.69918
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.0938
Advanced,Mitigation,Western Europe,Advanced,0.00472
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00006
EMDE,Mitigation,East Asia & Pacific,EMDE,0.01349
Advanced,Mitigation,East Asia & Pacific,EMDE,0
Advanced,Adaptation,Western Europe,Advanced,0.35298
Advanced,Adaptation,Middle East & North Africa,EMDE,0.00002
Advanced,Adaptation,East Asia & Pacific,China,0.00221
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00079
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.0158
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.12605
LDC,Adaptation,Latin America & Caribbean,LDC,0.0002
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.01065
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.0003
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.00932
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00005
China,Mitigation,Transregional,LDC,0.00001
China,Dual benefit,Transregional,Advanced,0
Advanced,Mitigation,Transregional,EMDE,0
EMDE,Adaptation,Transregional,Advanced,0
China,Adaptation,Transregional,EMDE,0.00117
Advanced,Mitigation,Transregional,Advanced,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00143
Advanced,Mitigation,East Asia & Pacific,China,0.00176
LDC,Dual benefit,East Asia & Pacific,Advanced,0
LDC,Mitigation,South Asia,EMDE,0.00004
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00863
LDC,Mitigation,Sub-Saharan Africa,EMDE,0
China,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.04886
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00002
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.00003
Transregional,Dual benefit,East Asia & Pacific,EMDE,0.00001
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.00062
Unknown,Mitigation,East Asia & Pacific,EMDE,0.00048
China,Mitigation,East Asia & Pacific,China,4.42443
LDC,Mitigation,East Asia & Pacific,LDC,0.00247
Advanced,Mitigation,East Asia & Pacific,LDC,0
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.00002
LDC,Mitigation,Middle East & North Africa,EMDE,0.00355
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.01304
LDC,Mitigation,East Asia & Pacific,LDC,0.0333
Advanced,Mitigation,Middle East & North Africa,EMDE,0.25803
Advanced,Mitigation,Other Oceania,Advanced,0.14762
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00185
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00029
Advanced,Mitigation,Middle East & North Africa,EMDE,0.07033
EMDE,Mitigation,Middle East & North Africa,Advanced,0.0007
China,Mitigation,Middle East & North Africa,EMDE,0
China,Mitigation,East Asia & Pacific,China,23.45959
China,Mitigation,East Asia & Pacific,China,48.63298
LDC,Mitigation,East Asia & Pacific,China,0.00424
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00119
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00148
Advanced,Dual benefit,South Asia,EMDE,0.10646
China,Mitigation,East Asia & Pacific,EMDE,0.00005
Advanced,Mitigation,South Asia,LDC,0.00012
Transregional,Dual benefit,Sub-Saharan Africa,EMDE,0.00003
LDC,Mitigation,Latin America & Caribbean,EMDE,0
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.02766
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00059
Advanced,Adaptation,East Asia & Pacific,Advanced,0.04325
Advanced,Adaptation,East Asia & Pacific,LDC,0.0007
EMDE,Adaptation,Latin America & Caribbean,EMDE,0.00959
EMDE,Adaptation,Sub-Saharan Africa,LDC,0.03436
Advanced,Adaptation,Middle East & North Africa,EMDE,0.10869
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.3943
LDC,Adaptation,Sub-Saharan Africa,EMDE,0.00108
China,Adaptation,Central Asia & Eastern Europe,EMDE,0.00018
EMDE,Adaptation,East Asia & Pacific,LDC,0.00132
LDC,Adaptation,Sub-Saharan Africa,LDC,0.00003
Advanced,Adaptation,East Asia & Pacific,LDC,0
China,Adaptation,Latin America & Caribbean,EMDE,0
LDC,Adaptation,Sub-Saharan Africa,EMDE,0.00356
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00378
Advanced,Dual benefit,East Asia & Pacific,Advanced,0
Advanced,Dual benefit,Sub-Saharan Africa,EMDE,0
Advanced,Adaptation,Sub-Saharan Africa,EMDE,0.00388
EMDE,Mitigation,Transregional,EMDE,0.07649
Advanced,Mitigation,Transregional,LDC,0.00009
Advanced,Mitigation,Transregional,Advanced,0.00026
Advanced,Mitigation,Transregional,Advanced,0
China,Mitigation,Transregional,LDC,0
Advanced,Mitigation,Transregional,EMDE,0.06981
Advanced,Mitigation,Transregional,EMDE,0.00029
LDC,Dual benefit,Transregional,EMDE,0
Advanced,Adaptation,Transregional,EMDE,0.00957
Advanced,Dual benefit,East Asia & Pacific,LDC,0.00089
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.06223
Advanced,Dual benefit,Middle East & North Africa,EMDE,0.00808
EMDE,Mitigation,Middle East & North Africa,EMDE,0.00023
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00004
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00003
Unknown,Dual benefit,East Asia & Pacific,EMDE,0.00004
Advanced,Mitigation,Latin America & Caribbean,Advanced,1.06459
EMDE,Mitigation,Western Europe,Advanced,0.00003
EMDE,Mitigation,East Asia & Pacific,EMDE,0.75386
Advanced,Mitigation,East Asia & Pacific,Advanced,0.00867
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Dual benefit,Sub-Saharan Africa,Advanced,0.00013
Advanced,Mitigation,Western Europe,Advanced,0
LDC,Mitigation,Sub-Saharan Africa,LDC,0.00271
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.05877
Advanced,Mitigation,Western Europe,Advanced,0.01723
China,Mitigation,Western Europe,Advanced,0.00305
Unknown,Mitigation,Central Asia & Eastern Europe,EMDE,0.00091
Advanced,Mitigation,Other Oceania,Advanced,2.63907
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.30585
EMDE,Mitigation,South Asia,EMDE,0.70139
Unknown,Mitigation,Latin America & Caribbean,EMDE,0.0112
EMDE,Mitigation,South Asia,EMDE,0.01593
EMDE,Dual benefit,Middle East & North Africa,EMDE,0.0871
LDC,Dual benefit,Latin America & Caribbean,EMDE,0
Advanced,Dual benefit,East Asia & Pacific,LDC,0.06
Advanced,Mitigation,Western Europe,Advanced,0.54008
EMDE,Mitigation,Central Asia & Eastern Europe,EMDE,0.0596
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00575
Advanced,Mitigation,East Asia & Pacific,EMDE,0.00086
Advanced,Mitigation,East Asia & Pacific,LDC,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00188
Advanced,Mitigation,South Asia,EMDE,0.08334
EMDE,Dual benefit,Latin America & Caribbean,LDC,0
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.02061
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0.00005
Advanced,Adaptation,Latin America & Caribbean,EMDE,0.00143
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00007
Advanced,Adaptation,South Asia,EMDE,0.01397
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.06858
Advanced,Adaptation,Sub-Saharan Africa,LDC,0.18705
China,Adaptation,Sub-Saharan Africa,LDC,0.00021
EMDE,Adaptation,Sub-Saharan Africa,EMDE,0.00338
Advanced,Adaptation,East Asia & Pacific,EMDE,0.00059
EMDE,Adaptation,Latin America & Caribbean,EMDE,0
Advanced,Adaptation,South Asia,LDC,0.00017
China,Adaptation,South Asia,EMDE,0.00048
Advanced,Mitigation,Western Europe,Advanced,0.08107
LDC,Mitigation,Transregional,LDC,0
EMDE,Mitigation,Transregional,EMDE,0.02678
Advanced,Dual benefit,Sub-Saharan Africa,LDC,0.07262
Advanced,Mitigation,Western Europe,Advanced,0.01753
Advanced,Mitigation,East Asia & Pacific,Advanced,0
Advanced,Mitigation,South Asia,EMDE,0.00016
LDC,Mitigation,Latin America & Caribbean,EMDE,0.00001
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00014
China,Mitigation,Latin America & Caribbean,EMDE,0
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00004
Unknown,Mitigation,Central Asia & Eastern Europe,Advanced,0.0053
EMDE,Mitigation,Central Asia & Eastern Europe,Advanced,0.00004
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.01104
Advanced,Mitigation,Sub-Saharan Africa,Advanced,0.00004
China,Mitigation,Central Asia & Eastern Europe,EMDE,0.0009
Advanced,Mitigation,Latin America & Caribbean,Advanced,0.02669
Advanced,Mitigation,East Asia & Pacific,China,0.00012
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.31103
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.09674
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.01685
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00576
EMDE,Mitigation,Sub-Saharan Africa,EMDE,0.00784
LDC,Mitigation,South Asia,EMDE,0.00001
EMDE,Dual benefit,Central Asia & Eastern Europe,EMDE,0.0029
LDC,Mitigation,East Asia & Pacific,EMDE,0.00006
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.0107
Advanced,Mitigation,South Asia,EMDE,0.00004
EMDE,Mitigation,Latin America & Caribbean,EMDE,0.00027
Advanced,Mitigation,Central Asia & Eastern Europe,EMDE,0.0045
EMDE,Mitigation,Western Europe,Advanced,0.02419
China,Mitigation,East Asia & Pacific,LDC,0
Advanced,Dual benefit,Latin America & Caribbean,EMDE,0.00027
Transregional,Dual benefit,East Asia & Pacific,EMDE,0.00019
Advanced,Mitigation,Latin America & Caribbean,EMDE,0.00043
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00155
EMDE,Mitigation,East Asia & Pacific,EMDE,0.00947
Advanced,Mitigation,Sub-Saharan Africa,LDC,0.00068
Advanced,Mitigation,Sub-Saharan Africa,EMDE,0.00275
Advanced,Mitigation,Central Asia & Eastern Europe,Advanced,0.01106
Advanced,Mitigation,US & Canada,Advanced,0.00665
China,Mitigation,Latin America & Caribbean,EMDE,0
LDC,Dual benefit,Latin America & Caribbean,LDC,0.00002
Advanced,Dual benefit,Central Asia & Eastern Europe,EMDE,0.01398
Advanced,Adaptation,South Asia,LDC,0.00389
Advanced,Adaptation,Central Asia & Eastern Europe,EMDE,0.00705
Advanced,Adaptation,East Asia & Pacific,China,0.00318
